time [s],yaw [rad],pitch [rad],roll [rad]
17737,5.00E-02,7.30E-03,1.82E-04
17738,5.01E-02,7.36E-03,1.84E-04
17739,5.02E-02,7.44E-03,1.87E-04
17740,5.03E-02,7.51E-03,1.89E-04
17741,5.03E-02,7.58E-03,1.91E-04
17742,5.04E-02,7.63E-03,1.92E-04
17743,5.05E-02,7.70E-03,1.94E-04
17744,5.06E-02,7.76E-03,1.96E-04
17745,5.07E-02,7.79E-03,1.98E-04
17746,5.08E-02,7.77E-03,1.97E-04
17747,5.09E-02,7.72E-03,1.97E-04
17748,5.10E-02,7.70E-03,1.96E-04
17749,5.11E-02,7.70E-03,1.97E-04
17750,5.12E-02,7.73E-03,1.98E-04
17751,5.13E-02,7.75E-03,1.99E-04
17752,5.14E-02,7.77E-03,2.00E-04
17753,5.15E-02,7.81E-03,2.01E-04
17754,5.16E-02,7.84E-03,2.02E-04
17755,5.17E-02,7.86E-03,2.03E-04
17756,5.18E-02,7.88E-03,2.04E-04
17757,5.18E-02,7.93E-03,2.05E-04
17758,5.19E-02,7.97E-03,2.07E-04
17759,5.20E-02,8.01E-03,2.08E-04
17760,5.21E-02,8.04E-03,2.09E-04
17761,5.22E-02,8.08E-03,2.11E-04
17762,5.23E-02,8.13E-03,2.13E-04
17763,5.24E-02,8.17E-03,2.14E-04
17764,5.25E-02,8.20E-03,2.15E-04
17765,5.25E-02,8.21E-03,2.16E-04
17766,5.26E-02,8.22E-03,2.16E-04
17767,5.27E-02,8.23E-03,2.17E-04
17768,5.28E-02,8.24E-03,2.18E-04
17769,5.29E-02,8.24E-03,2.18E-04
17770,5.30E-02,8.24E-03,2.18E-04
17771,5.31E-02,8.24E-03,2.19E-04
17772,5.31E-02,8.24E-03,2.19E-04
17773,5.32E-02,8.26E-03,2.20E-04
17774,5.33E-02,8.25E-03,2.20E-04
17775,5.34E-02,8.26E-03,2.21E-04
17776,5.35E-02,8.26E-03,2.21E-04
17777,5.36E-02,8.27E-03,2.22E-04
17778,5.37E-02,8.30E-03,2.23E-04
17779,5.38E-02,8.36E-03,2.25E-04
17780,5.38E-02,8.43E-03,2.27E-04
17781,5.39E-02,8.49E-03,2.29E-04
17782,5.40E-02,8.54E-03,2.30E-04
17783,5.41E-02,8.58E-03,2.32E-04
17784,5.41E-02,8.60E-03,2.33E-04
17785,5.42E-02,8.63E-03,2.34E-04
17786,5.43E-02,8.64E-03,2.35E-04
17787,5.44E-02,8.65E-03,2.35E-04
17788,5.45E-02,8.66E-03,2.36E-04
17789,5.45E-02,8.65E-03,2.36E-04
17790,5.46E-02,8.62E-03,2.35E-04
17791,5.47E-02,8.60E-03,2.35E-04
17792,5.48E-02,8.58E-03,2.35E-04
17793,5.48E-02,8.58E-03,2.35E-04
17794,5.49E-02,8.59E-03,2.36E-04
17795,5.50E-02,8.62E-03,2.37E-04
17796,5.51E-02,8.65E-03,2.38E-04
17797,5.51E-02,8.66E-03,2.39E-04
17798,5.52E-02,8.66E-03,2.39E-04
17799,5.53E-02,8.65E-03,2.39E-04
17800,5.53E-02,8.68E-03,2.40E-04
17801,5.54E-02,8.69E-03,2.41E-04
17802,5.55E-02,8.70E-03,2.41E-04
17803,5.56E-02,8.73E-03,2.42E-04
17804,5.56E-02,8.78E-03,2.44E-04
17805,5.57E-02,8.82E-03,2.46E-04
17806,5.58E-02,8.85E-03,2.47E-04
17807,5.58E-02,8.88E-03,2.48E-04
17808,5.59E-02,8.91E-03,2.49E-04
17809,5.60E-02,8.91E-03,2.49E-04
17810,5.60E-02,8.88E-03,2.49E-04
17811,5.61E-02,8.82E-03,2.47E-04
17812,5.62E-02,8.75E-03,2.46E-04
17813,5.62E-02,8.67E-03,2.44E-04
17814,5.63E-02,8.61E-03,2.43E-04
17815,5.64E-02,8.58E-03,2.42E-04
17816,5.65E-02,8.59E-03,2.42E-04
17817,5.65E-02,8.63E-03,2.44E-04
17818,5.66E-02,8.68E-03,2.46E-04
17819,5.67E-02,8.74E-03,2.48E-04
17820,5.67E-02,8.79E-03,2.49E-04
17821,5.68E-02,8.84E-03,2.51E-04
17822,5.68E-02,8.86E-03,2.52E-04
17823,5.69E-02,8.86E-03,2.52E-04
17824,5.70E-02,8.85E-03,2.52E-04
17825,5.70E-02,8.87E-03,2.53E-04
17826,5.71E-02,8.85E-03,2.53E-04
17827,5.72E-02,8.82E-03,2.52E-04
17828,5.72E-02,8.77E-03,2.51E-04
17829,5.73E-02,8.70E-03,2.49E-04
17830,5.74E-02,8.64E-03,2.48E-04
17831,5.74E-02,8.58E-03,2.47E-04
17832,5.75E-02,8.56E-03,2.46E-04
17833,5.76E-02,8.57E-03,2.47E-04
17834,5.76E-02,8.61E-03,2.48E-04
17835,5.77E-02,8.67E-03,2.50E-04
17836,5.77E-02,8.72E-03,2.52E-04
17837,5.78E-02,8.73E-03,2.52E-04
17838,5.78E-02,8.71E-03,2.52E-04
17839,5.79E-02,8.68E-03,2.51E-04
17840,5.79E-02,8.65E-03,2.50E-04
17841,5.80E-02,8.59E-03,2.49E-04
17842,5.80E-02,8.51E-03,2.47E-04
17843,5.81E-02,8.44E-03,2.45E-04
17844,5.82E-02,8.39E-03,2.44E-04
17845,5.82E-02,8.36E-03,2.43E-04
17846,5.83E-02,8.32E-03,2.42E-04
17847,5.83E-02,8.30E-03,2.42E-04
17848,5.84E-02,8.32E-03,2.43E-04
17849,5.85E-02,8.36E-03,2.44E-04
17850,5.85E-02,8.38E-03,2.45E-04
17851,5.86E-02,8.41E-03,2.47E-04
17852,5.86E-02,8.41E-03,2.47E-04
17853,5.87E-02,8.40E-03,2.47E-04
17854,5.87E-02,8.37E-03,2.46E-04
17855,5.88E-02,8.30E-03,2.44E-04
17856,5.89E-02,8.22E-03,2.42E-04
17857,5.89E-02,8.14E-03,2.40E-04
17858,5.90E-02,8.08E-03,2.38E-04
17859,5.90E-02,8.03E-03,2.37E-04
17860,5.91E-02,7.97E-03,2.35E-04
17861,5.92E-02,7.90E-03,2.34E-04
17862,5.92E-02,7.87E-03,2.33E-04
17863,5.93E-02,7.87E-03,2.33E-04
17864,5.93E-02,7.87E-03,2.33E-04
17865,5.94E-02,7.89E-03,2.34E-04
17866,5.94E-02,7.92E-03,2.35E-04
17867,5.95E-02,7.94E-03,2.36E-04
17868,5.95E-02,7.96E-03,2.37E-04
17869,5.95E-02,7.96E-03,2.37E-04
17870,5.96E-02,7.95E-03,2.37E-04
17871,5.96E-02,7.91E-03,2.36E-04
17872,5.97E-02,7.85E-03,2.34E-04
17873,5.97E-02,7.76E-03,2.32E-04
17874,5.97E-02,7.67E-03,2.29E-04
17875,5.98E-02,7.58E-03,2.27E-04
17876,5.98E-02,7.53E-03,2.25E-04
17877,5.99E-02,7.49E-03,2.24E-04
17878,5.99E-02,7.47E-03,2.24E-04
17879,6.00E-02,7.46E-03,2.24E-04
17880,6.00E-02,7.47E-03,2.24E-04
17881,6.00E-02,7.49E-03,2.25E-04
17882,6.01E-02,7.50E-03,2.25E-04
17883,6.01E-02,7.49E-03,2.25E-04
17884,6.01E-02,7.47E-03,2.25E-04
17885,6.02E-02,7.41E-03,2.23E-04
17886,6.02E-02,7.34E-03,2.21E-04
17887,6.02E-02,7.26E-03,2.19E-04
17888,6.03E-02,7.17E-03,2.16E-04
17889,6.03E-02,7.08E-03,2.13E-04
17890,6.03E-02,7.01E-03,2.11E-04
17891,6.04E-02,6.94E-03,2.10E-04
17892,6.04E-02,6.89E-03,2.08E-04
17893,6.05E-02,6.83E-03,2.07E-04
17894,6.05E-02,6.79E-03,2.05E-04
17895,6.05E-02,6.78E-03,2.05E-04
17896,6.06E-02,6.78E-03,2.05E-04
17897,6.06E-02,6.81E-03,2.06E-04
17898,6.06E-02,6.84E-03,2.08E-04
17899,6.07E-02,6.88E-03,2.09E-04
17900,6.07E-02,6.91E-03,2.10E-04
17901,6.07E-02,6.88E-03,2.09E-04
17902,6.07E-02,6.81E-03,2.07E-04
17903,6.07E-02,6.71E-03,2.04E-04
17904,6.08E-02,6.57E-03,2.00E-04
17905,6.08E-02,6.42E-03,1.95E-04
17906,6.08E-02,6.27E-03,1.91E-04
17907,6.09E-02,6.13E-03,1.87E-04
17908,6.09E-02,6.02E-03,1.83E-04
17909,6.10E-02,5.95E-03,1.81E-04
17910,6.10E-02,5.90E-03,1.80E-04
17911,6.10E-02,5.87E-03,1.79E-04
17912,6.11E-02,5.86E-03,1.79E-04
17913,6.11E-02,5.88E-03,1.80E-04
17914,6.11E-02,5.93E-03,1.81E-04
17915,6.11E-02,5.97E-03,1.82E-04
17916,6.11E-02,5.99E-03,1.83E-04
17917,6.12E-02,6.00E-03,1.84E-04
17918,6.12E-02,6.01E-03,1.84E-04
17919,6.12E-02,5.98E-03,1.83E-04
17920,6.12E-02,5.90E-03,1.81E-04
17921,6.12E-02,5.79E-03,1.77E-04
17922,6.12E-02,5.65E-03,1.73E-04
17923,6.12E-02,5.49E-03,1.68E-04
17924,6.12E-02,5.35E-03,1.64E-04
17925,6.13E-02,5.24E-03,1.61E-04
17926,6.13E-02,5.17E-03,1.59E-04
17927,6.13E-02,5.13E-03,1.57E-04
17928,6.13E-02,5.12E-03,1.57E-04
17929,6.14E-02,5.14E-03,1.58E-04
17930,6.14E-02,5.18E-03,1.59E-04
17931,6.14E-02,5.22E-03,1.60E-04
17932,6.14E-02,5.25E-03,1.61E-04
17933,6.14E-02,5.28E-03,1.62E-04
17934,6.14E-02,5.30E-03,1.63E-04
17935,6.14E-02,5.28E-03,1.62E-04
17936,6.14E-02,5.21E-03,1.60E-04
17937,6.14E-02,5.10E-03,1.57E-04
17938,6.14E-02,4.95E-03,1.52E-04
17939,6.14E-02,4.79E-03,1.47E-04
17940,6.15E-02,4.62E-03,1.42E-04
17941,6.15E-02,4.48E-03,1.38E-04
17942,6.15E-02,4.35E-03,1.34E-04
17943,6.15E-02,4.25E-03,1.31E-04
17944,6.16E-02,4.18E-03,1.29E-04
17945,6.16E-02,4.15E-03,1.28E-04
17946,6.16E-02,4.15E-03,1.28E-04
17947,6.17E-02,4.17E-03,1.29E-04
17948,6.17E-02,4.22E-03,1.30E-04
17949,6.17E-02,4.27E-03,1.32E-04
17950,6.17E-02,4.30E-03,1.33E-04
17951,6.17E-02,4.32E-03,1.33E-04
17952,6.17E-02,4.30E-03,1.33E-04
17953,6.17E-02,4.24E-03,1.31E-04
17954,6.17E-02,4.13E-03,1.27E-04
17955,6.17E-02,4.02E-03,1.24E-04
17956,6.17E-02,3.88E-03,1.20E-04
17957,6.17E-02,3.72E-03,1.15E-04
17958,6.17E-02,3.56E-03,1.10E-04
17959,6.17E-02,3.42E-03,1.06E-04
17960,6.17E-02,3.29E-03,1.02E-04
17961,6.15E-02,3.20E-03,9.85E-05
17962,6.09E-02,3.16E-03,9.63E-05
17963,6.01E-02,3.16E-03,9.50E-05
17964,5.91E-02,3.19E-03,9.43E-05
17965,5.79E-02,3.25E-03,9.41E-05
17966,5.65E-02,3.34E-03,9.42E-05
17967,5.49E-02,3.45E-03,9.46E-05
17968,5.32E-02,3.56E-03,9.46E-05
17969,5.13E-02,3.63E-03,9.31E-05
17970,4.93E-02,3.67E-03,9.05E-05
17971,4.73E-02,3.67E-03,8.68E-05
17972,4.52E-02,3.66E-03,8.27E-05
17973,4.31E-02,3.65E-03,7.87E-05
17974,4.12E-02,3.64E-03,7.50E-05
17975,3.95E-02,3.62E-03,7.15E-05
17976,3.81E-02,3.60E-03,6.84E-05
17977,3.68E-02,3.57E-03,6.58E-05
17978,3.57E-02,3.57E-03,6.38E-05
17979,3.48E-02,3.58E-03,6.23E-05
17980,3.41E-02,3.60E-03,6.13E-05
17981,3.35E-02,3.64E-03,6.09E-05
17982,3.30E-02,3.69E-03,6.09E-05
17983,3.26E-02,3.76E-03,6.14E-05
17984,3.23E-02,3.84E-03,6.21E-05
17985,3.21E-02,3.89E-03,6.25E-05
17986,3.21E-02,3.88E-03,6.22E-05
17987,3.20E-02,3.82E-03,6.12E-05
17988,3.21E-02,3.73E-03,5.99E-05
17989,3.22E-02,3.60E-03,5.80E-05
17990,3.21E-02,3.47E-03,5.56E-05
17991,3.17E-02,3.34E-03,5.30E-05
17992,3.12E-02,3.24E-03,5.07E-05
17993,3.05E-02,3.19E-03,4.88E-05
17994,2.97E-02,3.18E-03,4.71E-05
17995,2.87E-02,3.19E-03,4.58E-05
17996,2.75E-02,3.24E-03,4.47E-05
17997,2.64E-02,3.30E-03,4.37E-05
17998,2.54E-02,3.38E-03,4.29E-05
17999,2.44E-02,3.47E-03,4.23E-05
18000,2.35E-02,3.57E-03,4.20E-05
18001,2.29E-02,3.66E-03,4.18E-05
18002,2.23E-02,3.74E-03,4.17E-05
18003,2.20E-02,3.79E-03,4.17E-05
18004,2.17E-02,3.80E-03,4.13E-05
18005,2.16E-02,3.77E-03,4.07E-05
18006,2.16E-02,3.70E-03,4.00E-05
18007,2.16E-02,3.62E-03,3.91E-05
18008,2.16E-02,3.54E-03,3.82E-05
18009,2.15E-02,3.46E-03,3.72E-05
18010,2.12E-02,3.41E-03,3.61E-05
18011,2.07E-02,3.36E-03,3.49E-05
18012,2.01E-02,3.34E-03,3.37E-05
18013,1.94E-02,3.35E-03,3.25E-05
18014,1.86E-02,3.39E-03,3.15E-05
18015,1.78E-02,3.43E-03,3.05E-05
18016,1.71E-02,3.48E-03,2.97E-05
18017,1.65E-02,3.54E-03,2.93E-05
18018,1.61E-02,3.60E-03,2.90E-05
18019,1.59E-02,3.63E-03,2.88E-05
18020,1.58E-02,3.65E-03,2.87E-05
18021,1.58E-02,3.65E-03,2.88E-05
18022,1.59E-02,3.62E-03,2.87E-05
18023,1.61E-02,3.56E-03,2.85E-05
18024,1.62E-02,3.51E-03,2.84E-05
18025,1.62E-02,3.47E-03,2.81E-05
18026,1.60E-02,3.47E-03,2.77E-05
18027,1.56E-02,3.47E-03,2.71E-05
18028,1.51E-02,3.50E-03,2.64E-05
18029,1.44E-02,3.53E-03,2.55E-05
18030,1.37E-02,3.57E-03,2.44E-05
18031,1.29E-02,3.61E-03,2.33E-05
18032,1.23E-02,3.65E-03,2.24E-05
18033,1.18E-02,3.67E-03,2.17E-05
18034,1.15E-02,3.69E-03,2.12E-05
18035,1.13E-02,3.66E-03,2.08E-05
18036,1.13E-02,3.61E-03,2.04E-05
18037,1.14E-02,3.57E-03,2.04E-05
18038,1.16E-02,3.52E-03,2.05E-05
18039,1.19E-02,3.47E-03,2.06E-05
18040,1.21E-02,3.45E-03,2.08E-05
18041,1.23E-02,3.43E-03,2.10E-05
18042,1.23E-02,3.42E-03,2.10E-05
18043,1.21E-02,3.41E-03,2.07E-05
18044,1.18E-02,3.42E-03,2.02E-05
18045,1.14E-02,3.46E-03,1.96E-05
18046,1.08E-02,3.50E-03,1.90E-05
18047,1.02E-02,3.57E-03,1.83E-05
18048,9.63E-03,3.63E-03,1.75E-05
18049,9.15E-03,3.68E-03,1.68E-05
18050,8.80E-03,3.71E-03,1.63E-05
18051,8.59E-03,3.74E-03,1.61E-05
18052,8.51E-03,3.75E-03,1.59E-05
18053,8.57E-03,3.72E-03,1.59E-05
18054,8.75E-03,3.65E-03,1.60E-05
18055,9.02E-03,3.58E-03,1.62E-05
18056,9.29E-03,3.52E-03,1.64E-05
18057,9.41E-03,3.45E-03,1.62E-05
18058,9.34E-03,3.40E-03,1.59E-05
18059,9.21E-03,3.37E-03,1.55E-05
18060,8.96E-03,3.39E-03,1.52E-05
18061,8.59E-03,3.43E-03,1.47E-05
18062,8.18E-03,3.50E-03,1.43E-05
18063,7.75E-03,3.58E-03,1.39E-05
18064,7.39E-03,3.67E-03,1.35E-05
18065,7.18E-03,3.73E-03,1.34E-05
18066,7.09E-03,3.75E-03,1.33E-05
18067,7.11E-03,3.73E-03,1.33E-05
18068,7.15E-03,3.69E-03,1.32E-05
18069,7.23E-03,3.65E-03,1.32E-05
18070,7.36E-03,3.62E-03,1.33E-05
18071,7.48E-03,3.58E-03,1.34E-05
18072,7.50E-03,3.54E-03,1.33E-05
18073,7.40E-03,3.51E-03,1.30E-05
18074,7.28E-03,3.50E-03,1.27E-05
18075,7.09E-03,3.52E-03,1.25E-05
18076,6.91E-03,3.55E-03,1.23E-05
18077,6.76E-03,3.56E-03,1.20E-05
18078,6.59E-03,3.60E-03,1.19E-05
18079,6.48E-03,3.64E-03,1.18E-05
18080,6.39E-03,3.66E-03,1.17E-05
18081,6.31E-03,3.67E-03,1.16E-05
18082,6.29E-03,3.65E-03,1.15E-05
18083,6.28E-03,3.62E-03,1.14E-05
18084,6.17E-03,3.61E-03,1.11E-05
18085,5.97E-03,3.61E-03,1.08E-05
18086,5.79E-03,3.62E-03,1.05E-05
18087,5.73E-03,3.63E-03,1.04E-05
18088,5.72E-03,3.65E-03,1.04E-05
18089,5.77E-03,3.66E-03,1.06E-05
18090,5.88E-03,3.65E-03,1.07E-05
18091,5.99E-03,3.63E-03,1.09E-05
18092,6.08E-03,3.61E-03,1.10E-05
18093,6.07E-03,3.60E-03,1.09E-05
18094,5.98E-03,3.59E-03,1.07E-05
18095,5.81E-03,3.57E-03,1.04E-05
18096,5.61E-03,3.56E-03,9.98E-06
18097,5.39E-03,3.53E-03,9.50E-06
18098,5.15E-03,3.50E-03,9.00E-06
18099,4.95E-03,3.47E-03,8.59E-06
18100,4.77E-03,3.47E-03,8.27E-06
18101,4.68E-03,3.48E-03,8.15E-06
18102,4.70E-03,3.50E-03,8.24E-06
18103,4.79E-03,3.55E-03,8.50E-06
18104,4.95E-03,3.60E-03,8.89E-06
18105,5.10E-03,3.65E-03,9.31E-06
18106,5.28E-03,3.70E-03,9.77E-06
18107,5.44E-03,3.73E-03,1.02E-05
18108,5.45E-03,3.75E-03,1.02E-05
18109,5.33E-03,3.75E-03,1.00E-05
18110,5.09E-03,3.74E-03,9.52E-06
18111,4.79E-03,3.70E-03,8.86E-06
18112,4.51E-03,3.64E-03,8.21E-06
18113,4.30E-03,3.58E-03,7.69E-06
18114,4.12E-03,3.54E-03,7.29E-06
18115,4.09E-03,3.50E-03,7.15E-06
18116,4.18E-03,3.46E-03,7.23E-06
18117,4.37E-03,3.44E-03,7.50E-06
18118,4.63E-03,3.43E-03,7.94E-06
18119,4.91E-03,3.44E-03,8.46E-06
18120,5.16E-03,3.46E-03,8.93E-06
18121,5.31E-03,3.48E-03,9.24E-06
18122,5.28E-03,3.51E-03,9.26E-06
18123,5.10E-03,3.53E-03,9.00E-06
18124,4.84E-03,3.56E-03,8.61E-06
18125,4.60E-03,3.57E-03,8.22E-06
18126,4.38E-03,3.58E-03,7.84E-06
18127,4.19E-03,3.57E-03,7.47E-06
18128,4.05E-03,3.55E-03,7.19E-06
18129,3.92E-03,3.54E-03,6.93E-06
18130,3.85E-03,3.53E-03,6.79E-06
18131,3.88E-03,3.50E-03,6.78E-06
18132,4.01E-03,3.46E-03,6.93E-06
18133,4.15E-03,3.42E-03,7.10E-06
18134,4.29E-03,3.39E-03,7.26E-06
18135,4.37E-03,3.37E-03,7.36E-06
18136,4.39E-03,3.38E-03,7.42E-06
18137,4.31E-03,3.41E-03,7.34E-06
18138,4.22E-03,3.43E-03,7.23E-06
18139,4.07E-03,3.45E-03,7.03E-06
18140,3.90E-03,3.47E-03,6.77E-06
18141,3.79E-03,3.48E-03,6.59E-06
18142,3.74E-03,3.46E-03,6.47E-06
18143,3.79E-03,3.41E-03,6.46E-06
18144,3.92E-03,3.36E-03,6.59E-06
18145,4.07E-03,3.31E-03,6.74E-06
18146,4.24E-03,3.27E-03,6.92E-06
18147,4.33E-03,3.25E-03,7.05E-06
18148,4.35E-03,3.25E-03,7.08E-06
18149,4.29E-03,3.26E-03,7.00E-06
18150,4.10E-03,3.29E-03,6.76E-06
18151,3.88E-03,3.33E-03,6.45E-06
18152,3.59E-03,3.36E-03,6.03E-06
18153,3.39E-03,3.39E-03,5.75E-06
18154,3.25E-03,3.43E-03,5.58E-06
18155,3.24E-03,3.45E-03,5.58E-06
18156,3.34E-03,3.45E-03,5.75E-06
18157,3.50E-03,3.44E-03,6.02E-06
18158,3.65E-03,3.41E-03,6.23E-06
18159,3.81E-03,3.36E-03,6.39E-06
18160,3.91E-03,3.30E-03,6.45E-06
18161,3.91E-03,3.25E-03,6.34E-06
18162,3.86E-03,3.20E-03,6.19E-06
18163,3.78E-03,3.19E-03,6.01E-06
18164,3.66E-03,3.19E-03,5.83E-06
18165,3.53E-03,3.20E-03,5.65E-06
18166,3.48E-03,3.23E-03,5.61E-06
18167,3.48E-03,3.26E-03,5.66E-06
18168,3.45E-03,3.31E-03,5.69E-06
18169,3.43E-03,3.33E-03,5.71E-06
18170,3.44E-03,3.34E-03,5.73E-06
18171,3.42E-03,3.33E-03,5.69E-06
18172,3.41E-03,3.31E-03,5.65E-06
18173,3.40E-03,3.29E-03,5.60E-06
18174,3.40E-03,3.27E-03,5.55E-06
18175,3.40E-03,3.22E-03,5.48E-06
18176,3.41E-03,3.16E-03,5.39E-06
18177,3.36E-03,3.10E-03,5.22E-06
18178,3.33E-03,3.04E-03,5.06E-06
18179,3.35E-03,2.98E-03,4.99E-06
18180,3.38E-03,2.93E-03,4.96E-06
18181,3.43E-03,2.91E-03,4.99E-06
18182,3.43E-03,2.91E-03,5.00E-06
18183,3.41E-03,2.94E-03,5.00E-06
18184,3.38E-03,2.97E-03,5.03E-06
18185,3.31E-03,3.02E-03,5.00E-06
18186,3.27E-03,3.07E-03,5.02E-06
18187,3.29E-03,3.10E-03,5.10E-06
18188,3.26E-03,3.14E-03,5.12E-06
18189,3.23E-03,3.16E-03,5.10E-06
18190,3.16E-03,3.16E-03,4.99E-06
18191,3.10E-03,3.13E-03,4.85E-06
18192,3.07E-03,3.08E-03,4.72E-06
18193,3.11E-03,3.00E-03,4.66E-06
18194,3.15E-03,2.92E-03,4.61E-06
18195,3.17E-03,2.87E-03,4.55E-06
18196,3.23E-03,2.82E-03,4.55E-06
18197,3.35E-03,2.79E-03,4.67E-06
18198,3.47E-03,2.78E-03,4.82E-06
18199,3.55E-03,2.79E-03,4.94E-06
18200,3.59E-03,2.82E-03,5.05E-06
18201,3.52E-03,2.87E-03,5.04E-06
18202,3.42E-03,2.93E-03,5.01E-06
18203,3.27E-03,2.99E-03,4.88E-06
18204,3.08E-03,3.04E-03,4.67E-06
18205,2.86E-03,3.06E-03,4.38E-06
18206,2.68E-03,3.07E-03,4.10E-06
18207,2.53E-03,3.05E-03,3.86E-06
18208,2.46E-03,3.00E-03,3.68E-06
18209,2.49E-03,2.94E-03,3.66E-06
18210,2.57E-03,2.90E-03,3.73E-06
18211,2.71E-03,2.87E-03,3.89E-06
18212,2.88E-03,2.85E-03,4.11E-06
18213,3.11E-03,2.82E-03,4.40E-06
18214,3.33E-03,2.80E-03,4.66E-06
18215,3.46E-03,2.79E-03,4.83E-06
18216,3.57E-03,2.79E-03,4.98E-06
18217,3.62E-03,2.79E-03,5.05E-06
18218,3.57E-03,2.81E-03,5.01E-06
18219,3.41E-03,2.85E-03,4.85E-06
18220,3.11E-03,2.90E-03,4.51E-06
18221,2.78E-03,2.94E-03,4.08E-06
18222,2.47E-03,2.96E-03,3.66E-06
18223,2.26E-03,2.96E-03,3.35E-06
18224,2.14E-03,2.96E-03,3.16E-06
18225,2.14E-03,2.95E-03,3.16E-06
18226,2.27E-03,2.92E-03,3.32E-06
18227,2.49E-03,2.89E-03,3.61E-06
18228,2.76E-03,2.86E-03,3.95E-06
18229,2.98E-03,2.82E-03,4.20E-06
18230,3.08E-03,2.79E-03,4.30E-06
18231,3.15E-03,2.76E-03,4.35E-06
18232,3.20E-03,2.72E-03,4.35E-06
18233,3.20E-03,2.69E-03,4.30E-06
18234,3.15E-03,2.67E-03,4.21E-06
18235,3.09E-03,2.67E-03,4.12E-06
18236,3.04E-03,2.67E-03,4.06E-06
18237,3.00E-03,2.69E-03,4.03E-06
18238,2.97E-03,2.71E-03,4.02E-06
18239,2.99E-03,2.73E-03,4.08E-06
18240,2.97E-03,2.76E-03,4.10E-06
18241,2.95E-03,2.78E-03,4.11E-06
18242,2.99E-03,2.78E-03,4.16E-06
18243,3.03E-03,2.76E-03,4.18E-06
18244,3.05E-03,2.72E-03,4.15E-06
18245,3.04E-03,2.68E-03,4.08E-06
18246,2.98E-03,2.66E-03,3.95E-06
18247,2.91E-03,2.64E-03,3.85E-06
18248,2.91E-03,2.63E-03,3.82E-06
18249,2.93E-03,2.62E-03,3.83E-06
18250,2.97E-03,2.61E-03,3.88E-06
18251,3.01E-03,2.61E-03,3.93E-06
18252,3.00E-03,2.62E-03,3.93E-06
18253,2.95E-03,2.64E-03,3.89E-06
18254,2.88E-03,2.65E-03,3.81E-06
18255,2.87E-03,2.65E-03,3.79E-06
18256,2.88E-03,2.63E-03,3.78E-06
18257,2.94E-03,2.59E-03,3.81E-06
18258,3.01E-03,2.56E-03,3.86E-06
18259,3.10E-03,2.53E-03,3.93E-06
18260,3.20E-03,2.51E-03,4.02E-06
18261,3.26E-03,2.51E-03,4.09E-06
18262,3.33E-03,2.51E-03,4.18E-06
18263,3.36E-03,2.52E-03,4.22E-06
18264,3.30E-03,2.53E-03,4.18E-06
18265,3.23E-03,2.55E-03,4.11E-06
18266,3.11E-03,2.57E-03,4.00E-06
18267,2.95E-03,2.59E-03,3.82E-06
18268,2.82E-03,2.60E-03,3.65E-06
18269,2.67E-03,2.60E-03,3.48E-06
18270,2.55E-03,2.59E-03,3.31E-06
18271,2.54E-03,2.57E-03,3.26E-06
18272,2.62E-03,2.54E-03,3.32E-06
18273,2.78E-03,2.51E-03,3.48E-06
18274,2.96E-03,2.47E-03,3.66E-06
18275,3.19E-03,2.42E-03,3.86E-06
18276,3.35E-03,2.37E-03,3.97E-06
18277,3.38E-03,2.35E-03,3.97E-06
18278,3.31E-03,2.34E-03,3.88E-06
18279,3.19E-03,2.35E-03,3.74E-06
18280,3.08E-03,2.36E-03,3.62E-06
18281,2.92E-03,2.38E-03,3.47E-06
18282,2.77E-03,2.39E-03,3.31E-06
18283,2.55E-03,2.42E-03,3.09E-06
18284,2.35E-03,2.44E-03,2.87E-06
18285,2.20E-03,2.46E-03,2.70E-06
18286,2.12E-03,2.46E-03,2.61E-06
18287,2.15E-03,2.44E-03,2.62E-06
18288,2.27E-03,2.39E-03,2.72E-06
18289,2.48E-03,2.33E-03,2.89E-06
18290,2.73E-03,2.26E-03,3.09E-06
18291,3.00E-03,2.19E-03,3.29E-06
18292,3.24E-03,2.13E-03,3.45E-06
18293,3.37E-03,2.09E-03,3.53E-06
18294,3.40E-03,2.08E-03,3.53E-06
18295,3.35E-03,2.08E-03,3.49E-06
18296,3.18E-03,2.11E-03,3.35E-06
18297,2.92E-03,2.16E-03,3.15E-06
18298,2.64E-03,2.20E-03,2.90E-06
18299,2.35E-03,2.24E-03,2.64E-06
18300,2.13E-03,2.28E-03,2.43E-06
18301,2.02E-03,2.29E-03,2.32E-06
18302,2.01E-03,2.28E-03,2.30E-06
18303,2.05E-03,2.27E-03,2.33E-06
18304,2.18E-03,2.24E-03,2.45E-06
18305,2.40E-03,2.19E-03,2.63E-06
18306,2.69E-03,2.13E-03,2.86E-06
18307,2.97E-03,2.06E-03,3.06E-06
18308,3.16E-03,2.01E-03,3.18E-06
18309,3.24E-03,1.99E-03,3.22E-06
18310,3.22E-03,1.98E-03,3.19E-06
18311,3.09E-03,2.00E-03,3.09E-06
18312,2.89E-03,2.03E-03,2.93E-06
18313,2.64E-03,2.07E-03,2.74E-06
18314,2.38E-03,2.13E-03,2.54E-06
18315,2.18E-03,2.17E-03,2.36E-06
18316,2.05E-03,2.19E-03,2.25E-06
18317,2.00E-03,2.20E-03,2.20E-06
18318,2.02E-03,2.18E-03,2.21E-06
